group,location,effect_music_1_ovr,effect_music_1_mus,effect_music_1_tot,effect_music_2_ovr,effect_music_2_mus,effect_music_2_tot,effect_music_total,effect_visual_1_ovr,effect_visual_1_vis,effect_visual_1_tot,effect_visual_2_ovr,effect_visual_2_vis,effect_visual_2_tot,effect_visual_total,music_1_comp,music_1_perf,music_1_tot,music_2_comp,music_2_perf,music_2_tot,music_total,visual_1_comp,visual_1_perf,visual_1_tot,visual_2_comp,visual_2_perf,visual_2_tot,visual_total,sub_total,penalties,total,effect_music_1_judge,effect_music_2_judge,effect_visual_1_judge,effect_visual_2_judge,music_1_judge,music_2_judge,visual_1_judge,visual_2_judge,class,date
Ayala HS,"Chino Hills, CA",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Bridgeland HS,"Cypress, TX",2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Chino Hills HS,"Chino Hills, CA",3.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,3.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Avon HS,"Avon, IN",6.0,4.0,4.0,5.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,7.0,6.0,5.0,7.0,6.0,6.0,4.0,,4.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Burleson Centennial HS,"Burleson, TX",4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,5.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Arcadia HS,"Arcadia, CA",5.0,6.0,6.0,6.0,5.0,5.0,6.0,11.0,10.0,11.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,8.0,6.0,7.0,6.0,5.0,5.0,7.0,6.0,,6.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Cy-Fair HS,"Houston, TX",9.0,7.0,9.0,9.0,6.0,7.0,7.0,8.0,7.0,7.0,9.0,11.0,10.0,9.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,7.0,6.0,7.0,5.0,7.0,,7.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Clear Brook HS,"Friendswood, TX",7.0,9.0,7.0,7.0,9.0,9.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Dartmouth HS,"Dartmouth, MA",8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,10.0,9.0,11.0,10.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,,9.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Center Grove HS,"Greenwood, IN",10.0,10.0,10.0,11.0,11.0,11.0,10.0,7.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,,10.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Broken Arrow HS,"Broken Arrow, OK",11.0,11.0,11.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,13.0,14.0,13.0,15.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,9.0,9.0,9.0,12.0,12.0,12.0,11.0,11.0,,11.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Boswell HS,"Ft. Worth, TX",12.0,13.0,13.0,12.0,12.0,12.0,12.0,10.0,9.0,9.0,11.0,10.0,11.0,11.0,12.0,10.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,,12.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Dorman HS,"Roebuck, SC",13.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,12.0,12.0,12.0,12.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,12.0,13.0,,13.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Brownsburg HS,"Brownsburg, IN",14.0,14.0,14.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,15.0,13.0,14.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,,14.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
Walled Lake Consolidated Schools,"Walled Lake, MI",15.0,15.0,15.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,14.0,15.0,15.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,,15.0,M. McIntosh,R. Ulibarri,J. Gentry,J. Howell,M. Leitzke,J. Prosperie,S. Collins,D. McCarthy,Percussion Scholastic World,2025-04-12
RCC,"Riverside, CA",2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Rhythm X,"Indianapolis, IN",1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Broken City,"Lake Elsinore, CA",3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,3.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Pulse Percussion,"Ontario, CA",6.0,5.0,5.0,3.0,3.0,3.0,4.0,7.0,4.0,6.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,,4.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Infinity,"Orlando, FL",4.0,4.0,4.0,7.0,5.0,6.0,5.0,6.0,9.0,7.0,3.0,6.0,5.0,7.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
George Mason University,"Fairfax, VA",7.0,7.0,7.0,5.0,6.0,5.0,6.0,3.0,5.0,4.0,6.0,8.0,7.0,5.0,7.0,10.0,8.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,,6.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Music City Mystique,"Nashville, TN",8.0,8.0,8.0,6.0,7.0,7.0,7.0,9.0,7.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,6.0,9.0,9.0,8.0,8.0,5.0,7.0,6.0,7.0,6.0,6.0,7.0,,7.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
United Percussion,"Camden County, NJ",9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,6.0,6.0,9.0,5.0,6.0,6.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,,8.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Matrix,"Akron, OH",5.0,6.0,6.0,8.0,10.0,9.0,8.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,10.0,15.0,14.0,14.0,15.0,15.0,14.0,11.0,12.0,11.0,8.0,11.0,10.0,10.0,9.0,,9.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Cap City,"Columbus, OH",12.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,6.0,12.0,11.0,8.0,11.0,10.0,10.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,,10.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
POW Percussion,"Garden Grove, CA",10.0,11.0,10.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,11.0,12.0,13.0,13.0,13.0,12.0,10.0,10.0,10.0,11.0,13.0,12.0,10.0,11.0,,11.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Atlanta Quest,"Atlanta, GA",14.0,12.0,13.0,14.0,9.0,12.0,12.0,13.0,13.0,13.0,14.0,15.0,15.0,13.0,13.0,7.0,9.0,10.0,7.0,8.0,9.0,13.0,14.0,13.0,13.0,9.0,11.0,13.0,12.0,,12.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Rhythmic Force Percussion,"Austin, TX",11.0,13.0,12.0,13.0,13.0,13.0,13.0,10.0,12.0,11.0,12.0,11.0,12.0,11.0,14.0,13.0,13.0,11.0,12.0,12.0,13.0,12.0,11.0,12.0,14.0,12.0,13.0,12.0,13.0,,13.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Monarch Independent,"Houston, TX",13.0,14.0,14.0,12.0,14.0,14.0,14.0,15.0,15.0,15.0,13.0,14.0,13.0,15.0,11.0,9.0,10.0,12.0,10.0,11.0,11.0,14.0,15.0,15.0,12.0,14.0,14.0,14.0,14.0,,14.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Meraki,"Pomona, CA",15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,13.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,,15.0,B. Kuhn,K. Stafford,B. Jones,F. Miller,J. Ausdemore,O. Carmenates,A. Greene,J. Harvey,Percussion Independent World,2025-04-12
Victor J. Andrew HS,"Tinley Park, IL",4.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Fishers HS,"Fishers, IN",1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,6.0,7.0,7.0,2.0,1.0,2.0,4.0,2.0,,2.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Rancho Cucamonga HS,"Rancho Cucamonga, CA",5.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,6.0,4.0,6.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Greenfield-Central HS,"Greenfield, IN",2.0,2.0,2.0,3.0,5.0,4.0,2.0,6.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,1.0,2.0,5.0,5.0,5.0,3.0,4.0,,4.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Zionsville Community HS,"Zionsville, IN",8.0,7.0,7.0,5.0,4.0,5.0,6.0,7.0,8.0,8.0,5.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,,4.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Pace HS,"Pace, FL",3.0,3.0,3.0,6.0,6.0,6.0,5.0,11.0,10.0,10.0,6.0,7.0,7.0,9.0,6.0,8.0,8.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,9.0,7.0,8.0,6.0,6.0,,6.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Union HS,"Tulsa, OK",6.0,8.0,8.0,11.0,15.0,13.0,9.0,4.0,2.0,3.0,8.0,8.0,8.0,5.0,10.0,9.0,9.0,8.0,13.0,13.0,11.0,8.0,8.0,8.0,7.0,6.0,6.0,8.0,7.0,,7.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Fort Zumwalt Combined Schools,"O Fallon, MO",13.0,15.0,14.0,15.0,13.0,15.0,15.0,9.0,9.0,9.0,11.0,15.0,14.0,10.0,8.0,6.0,6.0,4.0,6.0,5.0,6.0,7.0,5.0,6.0,6.0,8.0,7.0,7.0,9.0,,8.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Chisholm Trail HS,"Fort Worth, TX",7.0,6.0,6.0,8.0,9.0,9.0,7.0,13.0,11.0,12.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,12.0,9.0,9.0,9.0,14.0,15.0,15.0,10.0,11.0,11.0,13.0,10.0,,9.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Goshen HS,"Goshen, IN",12.0,11.0,12.0,12.0,10.0,11.0,11.0,5.0,7.0,6.0,7.0,6.0,6.0,7.0,13.0,14.0,14.0,13.0,11.0,11.0,13.0,10.0,12.0,12.0,15.0,15.0,15.0,12.0,11.0,,10.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Kamiak HS,"Mukilteo, WA",9.0,9.0,9.0,7.0,8.0,7.0,8.0,14.0,14.0,14.0,13.0,10.0,11.0,13.0,9.0,13.0,12.0,10.0,14.0,14.0,14.0,9.0,11.0,9.0,11.0,9.0,10.0,10.0,12.0,,11.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Saginaw HS,"Saginaw, TX",10.0,13.0,11.0,13.0,14.0,12.0,13.0,15.0,15.0,15.0,15.0,11.0,13.0,15.0,11.0,11.0,11.0,14.0,10.0,10.0,10.0,12.0,9.0,11.0,12.0,12.0,12.0,11.0,13.0,,12.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Basha HS,"Chandler, AZ",14.0,14.0,15.0,9.0,7.0,8.0,12.0,10.0,12.0,11.0,12.0,13.0,12.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,14.0,14.0,14.0,15.0,14.0,,13.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Germantown HS,"Madison, MS",15.0,12.0,13.0,14.0,12.0,14.0,14.0,12.0,13.0,13.0,14.0,14.0,15.0,14.0,15.0,12.0,13.0,11.0,12.0,12.0,12.0,13.0,14.0,14.0,13.0,13.0,13.0,14.0,15.0,,14.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Great Oak HS,"Temecula, CA",11.0,10.0,10.0,10.0,11.0,10.0,9.0,8.0,6.0,7.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,,15.0,J. Davila,T. Mascari,J. Dwyer,J. Shade,S. Johnson,T. Rarick,K. Bell,R. Hardin,Percussion Scholastic Open,2025-04-12
Veritas,"Indianapolis, IN",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Civitas Independent,"Rock Hill, SC",2.0,2.0,2.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,6.0,6.0,4.0,2.0,,2.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
UTSA,"San Antonio, TX",5.0,7.0,6.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,5.0,6.0,6.0,4.0,6.0,7.0,6.0,5.0,5.0,5.0,6.0,3.0,,3.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Freedom Percussion,"St. Louis, MO",8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,2.0,3.0,2.0,6.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,,4.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Spectre Percussion,"Richmond, VA",3.0,4.0,3.0,3.0,7.0,5.0,3.0,2.0,3.0,2.0,3.0,6.0,4.0,2.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,,5.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Cap City 2,"Grove City, OH",4.0,6.0,5.0,6.0,4.0,6.0,5.0,6.0,9.0,8.0,8.0,8.0,8.0,8.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,9.0,9.0,9.0,4.0,3.0,3.0,5.0,6.0,,6.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
OCI,"Gardena, CA",7.0,5.0,7.0,2.0,5.0,3.0,5.0,4.0,2.0,3.0,7.0,4.0,6.0,4.0,8.0,7.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,8.0,8.0,8.0,7.0,7.0,,7.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Q2,"Atlanta, GA",6.0,3.0,4.0,7.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,,8.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
United Percussion 2,"Voorhees, NJ",12.0,10.0,12.0,10.0,8.0,9.0,10.0,7.0,7.0,7.0,9.0,10.0,10.0,9.0,6.0,5.0,6.0,10.0,10.0,10.0,8.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,9.0,,9.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Paradigm Percussion,"Pumping Iron Station, NC",9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,11.0,13.0,15.0,14.0,11.0,8.0,6.0,7.0,12.0,9.0,11.0,9.0,10.0,,10.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
River City Rhythm,"Anoka, MN",14.0,14.0,14.0,15.0,12.0,13.0,14.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,14.0,14.0,14.0,11.0,13.0,12.0,14.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,,11.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Matrix Open,"Akron, OH",10.0,13.0,11.0,11.0,11.0,11.0,11.0,14.0,15.0,15.0,13.0,14.0,14.0,14.0,11.0,9.0,9.0,7.0,9.0,8.0,9.0,15.0,13.0,14.0,15.0,15.0,15.0,15.0,12.0,,12.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Bakersfield College,"Bakersfield, CA",11.0,9.0,10.0,12.0,13.0,12.0,12.0,13.0,14.0,13.0,12.0,13.0,12.0,13.0,13.0,15.0,15.0,15.0,14.0,15.0,15.0,14.0,15.0,15.0,10.0,11.0,10.0,12.0,13.0,,13.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Imperial Dynasty,"Wilmington, DE",13.0,12.0,13.0,13.0,15.0,14.0,13.0,12.0,11.0,12.0,14.0,12.0,13.0,12.0,12.0,12.0,12.0,14.0,11.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,13.0,14.0,14.0,,14.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Breakthrough Indoor Percussion,"Phoenix, AZ",15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,12.0,12.0,11.0,13.0,12.0,12.0,12.0,14.0,14.0,14.0,13.0,15.0,,15.0,R. Hammond,C. Heiny,M. Gaines,B. Kuhn,P. Furnari,B. Mason,B. Mascaro,M. Metz,Percussion Independent Open,2025-04-12
Unionville HS,"Kennett Square, PA",2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,6.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,,1.0,E. Argenziano,T. Sanders,M. Waymire,J. Yoo,G. Howarth,J. Pipitone,K. Kuhn (Corney),E. Martinez,Percussion Scholastic A,2025-04-11
Temple City HS,"Temple City, CA",1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,8.0,8.0,8.0,4.0,5.0,5.0,5.0,2.0,1.0,1.0,3.0,7.0,5.0,2.0,2.0,,2.0,E. Argenziano,T. Sanders,M. Waymire,J. Yoo,G. Howarth,J. Pipitone,K. Kuhn (Corney),E. Martinez,Percussion Scholastic A,2025-04-11
Plainfield Combined Schools,"Plainfield, IL",3.0,6.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,6.0,5.0,6.0,5.0,3.0,,3.0,E. Argenziano,T. Sanders,M. Waymire,J. Yoo,G. Howarth,J. Pipitone,K. Kuhn (Corney),E. Martinez,Percussion Scholastic A,2025-04-11
